"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Alyref",1.11789509247008e-07,1.18239393009415,0.897,0.492,0.0021519480530049,"3","Alyref"
"Icam2",1.2524938285607e-07,3.13638851763041,0.308,0.039,0.00241105061997935,"3","Icam2"
"Pold2",1.41503319499773e-07,1.82432132003055,0.564,0.156,0.00272393890037063,"3","Pold2"
"Cdca7",1.55304601510332e-07,2.36399437832228,0.359,0.061,0.00298961357907389,"3","Cdca7"
"Rpa2",2.41567492079291e-07,1.81811287963822,0.564,0.168,0.00465017422252634,"3","Rpa2"
"Ndc1",2.59481194389018e-07,2.44655254730829,0.333,0.05,0.0049950129919886,"3","Ndc1"
"Sms",2.64713842222615e-07,2.32073820053549,0.385,0.073,0.00509574146278534,"3","Sms"
"Knstrn",3.2069644058007e-07,3.09944007930173,0.308,0.045,0.00617340648116635,"3","Knstrn"
"Ung",3.4024639390365e-07,2.62355880256003,0.308,0.045,0.00654974308264525,"3","Ung"
"Kif20a",3.48740617463306e-07,3.32768335758336,0.256,0.028,0.00671325688616865,"3","Kif20a"
"Psip1",3.65608628781979e-07,1.74890511382098,0.59,0.184,0.0070379661040531,"3","Psip1"
"Cdkn3",3.98942827961896e-07,3.72029277724624,0.256,0.028,0.00767964943826649,"3","Cdkn3"
"Ppa1",4.24427154938773e-07,1.9169329291113,0.462,0.112,0.00817022273257137,"3","Ppa1"
"Arhgap15",4.75021664199715e-07,2.03474071560891,0.385,0.073,0.00914416703584452,"3","Arhgap15"
"Chaf1a",6.04388433619475e-07,2.20907627456527,0.359,0.067,0.0116344773471749,"3","Chaf1a"
"Dtymk",6.65219466102823e-07,1.48632633267452,0.718,0.318,0.0128054747224793,"3","Dtymk"
"Gemin6",7.99417933403165e-07,2.48642641432009,0.385,0.084,0.0153887952180109,"3","Gemin6"
"Srsf2",9.03709262498842e-07,1.05692715555777,0.821,0.508,0.0173964033031027,"3","Srsf2"
"Cep57l1",1.07328993159852e-06,2.36244742570075,0.282,0.039,0.0206608311832714,"3","Cep57l1"
"Phgdh",1.30501619835362e-06,3.21161542492272,0.282,0.045,0.0251215618183072,"3","Phgdh"
"Impa2",1.50519014668279e-06,2.15636006586433,0.333,0.061,0.0289749103236436,"3","Impa2"
"Timeless",1.74771372891379e-06,2.85604052151698,0.256,0.034,0.0336434892815905,"3","Timeless"
